time_s,linear_x,angular_z,marker,flag
2946.3054,-0.416,1.0,driving,
2946.3119,-0.416,0.9997,driving,
2946.3125,-0.424,0.9997,driving,
2946.3208,-0.424,0.9995,driving,
2946.3215,-0.4307,0.9995,driving,
2946.3272,-0.4361,0.9995,driving,
2946.3348,-0.4406,0.9995,driving,
2946.3423,-0.4445,0.9995,driving,
2946.3499,-0.4479,0.9995,driving,
2946.3575,-0.451,0.9995,driving,
2946.3650,-0.451,0.9953,driving,
2946.3656,-0.4537,0.9953,driving,
2946.3726,-0.4561,0.9953,driving,
2946.3802,-0.4581,0.9953,driving,
2946.3953,-0.4611,0.9953,driving,
2946.4018,-0.4611,0.992,driving,
2946.4168,-0.4637,0.992,driving,
2946.4371,-0.4637,0.992,driving,
2946.4768,-0.4637,0.992,driving,
2946.4972,-0.4637,0.992,driving,
2946.5176,-0.4637,0.992,driving,
2946.5380,-0.4637,0.992,driving,
2946.5520,-0.4657,0.992,driving,
2946.5606,-0.46,0.992,driving,
2946.5671,-0.46,0.985,driving,
2946.5677,-0.4462,0.985,driving,
2946.5747,-0.4462,0.9719,driving,
2946.5753,-0.4284,0.9719,driving,
2946.5824,-0.4284,0.9448,driving,
2946.5829,-0.4044,0.9448,driving,
2946.5902,-0.4044,0.9032,driving,
2946.5908,-0.3744,0.9032,driving,
2946.5914,0.0,0.0,driving,
2948.2103,-0.0,-0.0563,driving,
2948.2176,-0.0,-0.0775,driving,
2948.2253,-0.0,-0.1072,driving,
2948.2319,-0.0,-0.1473,driving,
2948.2407,-0.0,-0.4026,driving,
2948.2474,-0.0,-0.4235,driving,
2948.2551,-0.0,-0.4613,driving,
2948.2627,-0.0,-0.7384,driving,
2948.2702,-0.0,-0.7597,driving,
2948.2767,-0.0,-1.0,driving,
2948.2856,-0.1086,-1.0,driving,
2948.2922,-0.1305,-1.0,driving,
2948.2999,-0.1528,-1.0,driving,
2948.3075,-0.1706,-1.0,driving,
2948.3151,-0.1846,-1.0,driving,
2948.3227,-0.1957,-1.0,driving,
2948.3304,-0.2043,-1.0,driving,
2948.3369,-0.2107,-1.0,driving,
2948.3605,-0.2078,-1.0,driving,
2948.3671,-0.2042,-1.0,driving,
2948.3757,-0.2002,-1.0,driving,
2948.3823,-0.1959,-1.0,driving,
2948.3899,-0.1915,-1.0,driving,
2948.3976,-0.1878,-1.0,driving,
2948.4052,-0.1848,-1.0,driving,
2948.4203,-0.1798,-1.0,driving,
2948.4354,-0.1765,-1.0,driving,
2948.4558,-0.1765,-1.0,driving,
2948.4719,-0.1735,-1.0,driving,
2948.5117,-0.1735,-1.0,driving,
2948.5319,-0.1735,-1.0,driving,
2948.5716,-0.1735,-1.0,driving,
2948.5921,-0.1735,-1.0,driving,
2948.6071,-0.1762,-1.0,driving,
2948.6146,-0.1798,-1.0,driving,
2948.6222,-0.1862,-1.0,driving,
2948.6297,-0.194,-1.0,driving,
2948.6372,-0.2014,-1.0,driving,
2948.6447,-0.2086,-1.0,driving,
2948.6524,-0.2159,-1.0,driving,
2948.6601,-0.2247,-1.0,driving,
2948.6675,-0.2341,-1.0,driving,
2948.6750,-0.2438,-1.0,driving,
2948.6756,0.0,0.0,driving,
2951.5773,0.1201,-0.0807,driving,
2951.5860,0.1201,-0.1136,driving,
2951.5871,0.1529,-0.1136,driving,
2951.5924,0.1529,-0.1553,driving,
2951.5930,0.1895,-0.1553,driving,
2951.5999,0.1895,-0.4069,driving,
2951.6005,0.2275,-0.4069,driving,
2951.6075,0.2275,-0.4243,driving,
2951.6081,0.4597,-0.4243,driving,
2951.6151,0.4597,-0.4572,driving,
2951.6157,0.4736,-0.4572,driving,
2951.6227,0.4736,-0.7007,driving,
2951.6233,0.4998,-0.7007,driving,
2951.6303,0.4998,-0.7257,driving,
2951.6309,0.5337,-0.7257,driving,
2951.6368,0.5337,-0.7723,driving,
2951.6374,0.5738,-0.7723,driving,
2951.6455,0.5738,-1.0,driving,
2951.6461,0.7919,-1.0,driving,
2951.6520,0.8043,-1.0,driving,
2951.6607,0.8201,-1.0,driving,
2951.6672,0.8337,-1.0,driving,
2951.6743,0.89,-1.0,driving,
2951.6944,0.89,-1.0,driving,
2951.7153,0.89,-1.0,driving,
2951.7357,0.89,-1.0,driving,
2951.7556,0.89,-1.0,driving,
2951.7956,0.89,-1.0,driving,
2951.8161,0.89,-1.0,driving,
2951.8557,0.89,-1.0,driving,
2951.8759,0.89,-1.0,driving,
2951.9158,0.89,-1.0,driving,
2951.9362,0.89,-1.0,driving,
2951.9567,0.89,-1.0,driving,
2951.9771,0.89,-1.0,driving,
2952.0166,0.89,-1.0,driving,
2952.0369,0.89,-1.0,driving,
2952.0572,0.89,-1.0,driving,
2952.0973,0.89,-1.0,driving,
2952.1173,0.89,-1.0,driving,
2952.1379,0.89,-1.0,driving,
2952.1777,0.89,-1.0,driving,
2952.1981,0.89,-1.0,driving,
2952.2377,0.89,-1.0,driving,
2952.2452,0.8372,-1.0,driving,
2952.2517,0.8372,-0.9569,driving,
2952.2523,0.8241,-0.9569,driving,
2952.2604,0.8241,-0.9373,driving,
2952.2610,0.802,-0.9373,driving,
2952.2669,0.802,-0.9087,driving,
2952.2675,0.773,-0.9087,driving,
2952.2681,0.0,0.0,driving,
2956.6108,-0.0,-0.0,driving,
2956.6331,-0.0,-0.0,driving,
2956.6557,-0.0,-0.0,driving,
2956.6782,-0.0,0.1465,driving,
2956.6847,-0.0,0.1734,driving,
2956.6853,0.0095,0.1734,driving,
2956.6933,0.0095,0.4479,driving,
2956.6939,0.0436,0.4479,driving,
2956.6998,0.0436,0.4812,driving,
2956.7005,0.0838,0.4812,driving,
2956.7075,0.0838,0.8085,driving,
2956.7081,0.3398,0.8085,driving,
2956.7152,0.3398,1.0,driving,
2956.7158,0.3641,1.0,driving,
2956.7227,0.4021,1.0,driving,
2956.7303,0.4372,1.0,driving,
2956.7368,0.4689,1.0,driving,
2956.7455,0.497,1.0,driving,
2956.7531,0.5219,1.0,driving,
2956.7606,0.5442,1.0,driving,
2956.7671,0.5647,1.0,driving,
2956.7747,0.5833,1.0,driving,
2956.7833,0.6,1.0,driving,
2956.7898,0.6148,1.0,driving,
2956.7985,0.6268,1.0,driving,
2956.8051,0.6366,1.0,driving,
2956.8136,0.6442,1.0,driving,
2956.8201,0.6503,1.0,driving,
2956.8277,0.656,1.0,driving,
2956.8352,0.6618,1.0,driving,
2956.8428,0.668,1.0,driving,
2956.8504,0.6737,1.0,driving,
2956.8578,0.6792,1.0,driving,
2956.8654,0.6843,1.0,driving,
2956.8729,0.6895,1.0,driving,
2956.8805,0.6947,1.0,driving,
2956.8880,0.6997,1.0,driving,
2956.8956,0.7048,1.0,driving,
2956.9031,0.7097,1.0,driving,
2956.9106,0.7142,1.0,driving,
2956.9183,0.7182,1.0,driving,
2956.9247,0.7214,1.0,driving,
2956.9333,0.7244,1.0,driving,
2956.9473,0.7291,1.0,driving,
2956.9624,0.7329,1.0,driving,
2956.9827,0.7329,1.0,driving,
2956.9935,0.7359,1.0,driving,
2957.0141,0.7359,1.0,driving,
2957.0537,0.7359,1.0,driving,
2957.0742,0.7359,1.0,driving,
2957.0903,0.7349,1.0,driving,
2957.1107,0.7349,1.0,driving,
2957.1129,0.7312,1.0,driving,
2957.1356,0.7284,1.0,driving,
2957.1560,0.7284,1.0,driving,
2957.1582,0.7261,1.0,driving,
2957.1781,0.7261,1.0,driving,
2957.1802,0.7251,1.0,driving,
2957.2009,0.7251,1.0,driving,
2957.2106,0.7216,1.0,driving,
2957.2310,0.7216,1.0,driving,
2957.2482,0.7194,1.0,driving,
2957.2857,0.7173,1.0,driving,
2957.3061,0.7173,1.0,driving,
2957.3458,0.7173,1.0,driving,
2957.3533,0.7151,1.0,driving,
2957.3737,0.7151,1.0,driving,
2957.3835,0.7141,1.0,driving,
2957.4038,0.7141,1.0,driving,
2957.4061,0.7106,1.0,driving,
2957.4458,0.7106,1.0,driving,
2957.4662,0.7106,1.0,driving,
2957.5059,0.7106,1.0,driving,
2957.5252,0.7052,1.0,driving,
2957.5328,0.7,1.0,driving,
2957.5405,0.6951,1.0,driving,
2957.5480,0.6911,1.0,driving,
2957.5556,0.6876,1.0,driving,
2957.5633,0.6839,1.0,driving,
2957.5696,0.6788,1.0,driving,
2957.5784,0.6707,1.0,driving,
2957.5846,0.6707,0.9753,driving,
2957.5848,0.6578,0.9753,driving,
2957.5935,0.6578,0.9624,driving,
2957.5942,0.6395,0.9624,driving,
2957.6000,0.6395,0.9329,driving,
2957.6007,0.613,0.9329,driving,
2957.6078,0.613,0.8861,driving,
2957.6085,0.5787,0.8861,driving,
2957.6091,0.0,0.0,driving,
2960.3232,-0.0,-0.0,driving,
2960.3456,-0.0,-0.0,driving,
2960.3681,-0.0,-0.0,driving,
2960.3832,-0.0,-0.0168,driving,
2960.3907,-0.0,-0.0528,driving,
2960.3913,-0.2162,-0.0528,driving,
2960.3983,-0.2162,-0.3402,driving,
2960.3989,-0.2388,-0.3402,driving,
2960.4048,-0.2388,-0.3741,driving,
2960.4055,-0.4804,-0.3741,driving,
2960.4136,-0.4804,-0.7083,driving,
2960.4143,-0.5103,-0.7083,driving,
2960.4200,-0.5103,-0.9688,driving,
2960.4206,-0.8296,-0.9688,driving,
2960.4287,-0.8236,-0.9688,driving,
2960.4352,-0.8236,-0.9745,driving,
2960.4358,-0.8126,-0.9745,driving,
2960.4427,-0.8126,-1.0,driving,
2960.4434,-0.8005,-1.0,driving,
2960.4504,-0.7877,-1.0,driving,
2960.4579,-0.7735,-1.0,driving,
2960.4655,-0.7575,-1.0,driving,
2960.4731,-0.7385,-1.0,driving,
2960.4807,-0.7182,-1.0,driving,
2960.4883,-0.6984,-1.0,driving,
2960.4947,-0.6792,-1.0,driving,
2960.5034,-0.661,-1.0,driving,
2960.5098,-0.6432,-1.0,driving,
2960.5185,-0.6252,-1.0,driving,
2960.5250,-0.6063,-1.0,driving,
2960.5336,-0.5883,-1.0,driving,
2960.5402,-0.5705,-1.0,driving,
2960.5477,-0.5524,-1.0,driving,
2960.5553,-0.5345,-1.0,driving,
2960.5628,-0.5167,-1.0,driving,
2960.5704,-0.5006,-1.0,driving,
2960.5779,-0.4851,-1.0,driving,
2960.5853,-0.4704,-1.0,driving,
2960.5930,-0.457,-1.0,driving,
2960.6006,-0.4447,-1.0,driving,
2960.6082,-0.4339,-1.0,driving,
2960.6146,-0.4246,-1.0,driving,
2960.6232,-0.4165,-1.0,driving,
2960.6297,-0.4082,-1.0,driving,
2960.6383,-0.4004,-1.0,driving,
2960.6448,-0.3932,-1.0,driving,
2960.6534,-0.3867,-1.0,driving,
2960.6599,-0.3809,-1.0,driving,
2960.6686,-0.3759,-1.0,driving,
2960.6751,-0.3715,-1.0,driving,
2960.6837,-0.367,-1.0,driving,
2960.6902,-0.3619,-1.0,driving,
2960.6977,-0.3564,-1.0,driving,
2960.7053,-0.351,-1.0,driving,
2960.7128,-0.3452,-1.0,driving,
2960.7204,-0.3393,-1.0,driving,
2960.7291,-0.3334,-1.0,driving,
2960.7356,-0.3277,-1.0,driving,
2960.7432,-0.3224,-1.0,driving,
2960.7507,-0.3172,-1.0,driving,
2960.7583,-0.3125,-1.0,driving,
2960.7648,-0.3084,-1.0,driving,
2960.7734,-0.3051,-1.0,driving,
2960.7885,-0.3001,-1.0,driving,
2960.8035,-0.2947,-1.0,driving,
2960.8100,-0.2915,-1.0,driving,
2960.8185,-0.2885,-1.0,driving,
2960.8250,-0.2855,-1.0,driving,
2960.8402,-0.2804,-1.0,driving,
2960.8553,-0.2765,-1.0,driving,
2960.8702,-0.2728,-1.0,driving,
2960.8851,-0.2694,-1.0,driving,
2960.9078,-0.2666,-1.0,driving,
2960.9281,-0.2666,-1.0,driving,
2960.9453,-0.2631,-1.0,driving,
2960.9658,-0.2631,-1.0,driving,
2960.9756,-0.2598,-1.0,driving,
2960.9959,-0.2598,-1.0,driving,
2961.0208,-0.2619,-1.0,driving,
2961.0283,-0.2735,-1.0,driving,
2961.0348,-0.2841,-1.0,driving,
2961.0434,-0.2942,-1.0,driving,
2961.0499,-0.3037,-1.0,driving,
2961.0586,-0.3138,-1.0,driving,
2961.0652,-0.3256,-1.0,driving,
2961.0736,-0.3374,-1.0,driving,
2961.0804,-0.3483,-1.0,driving,
2961.0881,-0.3585,-1.0,driving,
2961.0956,-0.3678,-1.0,driving,
2961.1033,-0.3768,-1.0,driving,
2961.1099,-0.3855,-1.0,driving,
2961.1106,0.0,0.0,driving,
2968.0925,0.1599,-0.0,driving,
2968.0998,0.1819,-0.0,driving,
2968.1083,0.2087,-0.0,driving,
2968.1147,0.2369,-0.0,driving,
2968.1232,0.2683,-0.0,driving,
2968.1295,0.4786,-0.0,driving,
2968.1381,0.4967,-0.0,driving,
2968.1444,0.5313,-0.0,driving,
2968.1529,0.7947,-0.0,driving,
2968.1595,0.89,-0.0,driving,
2968.1834,0.89,-0.0,driving,
2968.1895,0.89,-0.0082,driving,
2968.1981,0.89,-0.0481,driving,
2968.2044,0.89,-0.3133,driving,
2968.2134,0.89,-0.3277,driving,
2968.2199,0.89,-0.3495,driving,
2968.2287,0.89,-0.3756,driving,
2968.2353,0.89,-0.4042,driving,
2968.2430,0.89,-0.434,driving,
2968.2505,0.89,-0.4697,driving,
2968.2583,0.89,-0.5083,driving,
2968.2644,0.89,-0.5494,driving,
2968.2729,0.89,-0.5949,driving,
2968.2793,0.89,-0.6384,driving,
2968.2882,0.89,-0.6773,driving,
2968.2948,0.89,-0.7151,driving,
2968.3035,0.89,-0.7486,driving,
2968.3102,0.89,-0.7783,driving,
2968.3178,0.89,-0.8068,driving,
2968.3257,0.89,-0.8349,driving,
2968.3332,0.89,-0.8614,driving,
2968.3398,0.89,-0.885,driving,
2968.3485,0.89,-0.9047,driving,
2968.3551,0.89,-0.9205,driving,
2968.3628,0.89,-0.9336,driving,
2968.3705,0.89,-0.9443,driving,
2968.3782,0.89,-0.953,driving,
2968.3847,0.89,-0.96,driving,
2968.3935,0.89,-0.9656,driving,
2968.4002,0.89,-0.9701,driving,
2968.4077,0.89,-0.9739,driving,
2968.4154,0.89,-0.9771,driving,
2968.4231,0.89,-0.9803,driving,
2968.4377,0.89,-0.9859,driving,
2968.4525,0.89,-1.0,driving,
2968.4726,0.89,-1.0,driving,
2968.4928,0.89,-1.0,driving,
2968.5129,0.8768,-1.0,driving,
2968.5193,0.8711,-1.0,driving,
2968.5281,0.8594,-1.0,driving,
2968.5347,0.8431,-1.0,driving,
2968.5435,0.8245,-1.0,driving,
2968.5499,0.803,-1.0,driving,
2968.5587,0.7791,-1.0,driving,
2968.5652,0.7536,-1.0,driving,
2968.5729,0.7256,-1.0,driving,
2968.5804,0.695,-1.0,driving,
2968.5882,0.6598,-1.0,driving,
2968.5947,0.6243,-1.0,driving,
2968.5954,0.0,0.0,driving,
2969.7652,0.0405,-0.0,driving,
2969.7733,0.0555,-0.0,driving,
2969.7802,0.0716,-0.0,driving,
2969.7879,0.091,-0.0,driving,
2969.7955,0.1134,-0.0,driving,
2969.8032,0.1364,-0.0,driving,
2969.8098,0.161,-0.0,driving,
2969.8186,0.1894,-0.0,driving,
2969.8251,0.2205,-0.0,driving,
2969.8328,0.2532,-0.0,driving,
2969.8405,0.292,-0.0,driving,
2969.8482,0.5191,-0.0,driving,
2969.8548,0.5344,-0.0,driving,
2969.8636,0.5344,0.0862,driving,
2969.8643,0.56,0.0862,driving,
2969.8702,0.56,0.1142,driving,
2969.8708,0.5968,0.1142,driving,
2969.8779,0.5968,0.379,driving,
2969.8786,0.823,0.379,driving,
2969.8857,0.823,0.4037,driving,
2969.8864,0.89,0.4037,driving,
2969.8935,0.89,0.6578,driving,
2969.9001,0.89,0.6888,driving,
2969.9077,0.89,0.7157,driving,
2969.9154,0.89,0.739,driving,
2969.9359,0.89,0.739,driving,
2969.9382,0.89,0.8077,driving,
2969.9448,0.89,0.8309,driving,
2969.9454,0.8796,0.8309,driving,
2969.9536,0.8796,0.852,driving,
2969.9543,0.8736,0.852,driving,
2969.9614,0.8736,0.872,driving,
2969.9621,0.8625,0.872,driving,
2969.9680,0.8625,0.8918,driving,
2969.9687,0.8497,0.8918,driving,
2969.9756,0.8497,0.9118,driving,
2969.9762,0.8347,0.9118,driving,
2969.9832,0.8347,1.0,driving,
2969.9838,0.8165,1.0,driving,
2969.9897,0.7949,1.0,driving,
2969.9983,0.7707,1.0,driving,
2970.0049,0.7473,1.0,driving,
2970.0138,0.7256,1.0,driving,
2970.0203,0.7039,1.0,driving,
2970.0281,0.6845,1.0,driving,
2970.0356,0.6667,1.0,driving,
2970.0433,0.6505,1.0,driving,
2970.0499,0.6363,1.0,driving,
2970.0586,0.6242,1.0,driving,
2970.0652,0.6135,1.0,driving,
2970.0729,0.6027,1.0,driving,
2970.0806,0.5924,1.0,driving,
2970.0883,0.5828,1.0,driving,
2970.0949,0.5742,1.0,driving,
2970.1036,0.5662,1.0,driving,
2970.1102,0.5587,1.0,driving,
2970.1179,0.5519,1.0,driving,
2970.1256,0.5457,1.0,driving,
2970.1333,0.5399,1.0,driving,
2970.1398,0.5354,1.0,driving,
2970.1483,0.5316,1.0,driving,
2970.1549,0.5283,1.0,driving,
2970.1636,0.5259,1.0,driving,
2970.1697,0.5238,1.0,driving,
2970.1850,0.5207,1.0,driving,
2970.2054,0.5207,1.0,driving,
2970.2088,0.5184,1.0,driving,
2970.2293,0.5184,1.0,driving,
2970.2530,0.5338,1.0,driving,
2970.2606,0.5524,1.0,driving,
2970.2683,0.5759,1.0,driving,
2970.2749,0.6034,1.0,driving,
2970.2835,0.6354,1.0,driving,
2970.2899,0.6354,0.9968,driving,
2970.2905,0.6716,0.9968,driving,
2970.2986,0.6716,0.9874,driving,
2970.2992,0.8834,0.9874,driving,
2970.3053,0.8834,0.9724,driving,
2970.3059,0.89,0.9724,driving,
2970.3130,0.89,0.9508,driving,
2970.3207,0.89,0.9193,driving,
2970.3284,0.89,0.8821,driving,
2970.3350,0.89,0.8394,driving,
2970.3437,0.89,0.796,driving,
2970.3503,0.89,0.7503,driving,
2970.3580,0.89,0.4974,driving,
2970.3653,0.89,0.4882,driving,
2970.3732,0.89,0.4689,driving,
2970.3798,0.89,0.4391,driving,
2970.3885,0.89,0.3957,driving,
2970.3951,0.89,0.1389,driving,
2970.4028,0.89,0.1226,driving,
2970.4104,0.89,0.094,driving,
2970.4180,0.89,0.0576,driving,
2970.4257,0.89,0.0119,driving,
2970.4333,0.89,-0.0,driving,
2970.4485,0.89,-0.0038,driving,
2970.4551,0.89,-0.3369,driving,
2970.4627,0.89,-0.3657,driving,
2970.4704,0.89,-0.6028,driving,
2970.4781,0.89,-0.624,driving,
2970.4847,0.89,-0.6624,driving,
2970.4935,0.89,-0.7081,driving,
2970.5001,0.89,-0.9785,driving,
2970.5078,0.89,-1.0,driving,
2970.5283,0.89,-1.0,driving,
2970.5681,0.89,-1.0,driving,
2970.6079,0.89,-1.0,driving,
2970.6284,0.89,-1.0,driving,
2970.6682,0.89,-1.0,driving,
2970.7073,0.89,-1.0,driving,
2970.7279,0.89,-1.0,driving,
2970.7485,0.89,-1.0,driving,
2970.7690,0.89,-1.0,driving,
2970.7895,0.89,-1.0,driving,
2970.7929,0.8768,-1.0,driving,
2970.8005,0.8768,-0.8805,driving,
2970.8012,0.87,-0.8805,driving,
2970.8083,0.87,-0.8615,driving,
2970.8089,0.8543,-0.8615,driving,
2970.8150,0.8543,-0.8178,driving,
2970.8156,0.8315,-0.8178,driving,
2970.8162,0.0,0.0,driving,
